job_title,job_id,job_url,announcement_date,cap_bac,expiration_date,job_description,job_requirements,other_info,company_id,lb_salary,ub_salary,lb_kinh_nghiem,ub_kinh_nghiem
Kế Toán Công Nợ,35BB8C26,https://careerbuilder.vn/vi/tim-viec-lam/ke-toan-cong-no.35BB8C26.html,2023-03-04,Nhân viên,2023-04-04,"<div class=""detail-row reset-bullet"">
        <h2 class=""detail-title"">Mô tả Công việc</h2>
        <p>- Phụ trách công nợ phải thu của nhà hàng và phòng Kinh doanh, các đối tác thương mại điện tử:<br>- Nhận thông tin từ nhà hàng báo cáo lên dữ liệu phần mềm, chịu trách nhiệm chính các thông tin liên quan đến công nợ phải thu.<br>- Đối soát số liệu công nợ với khách hàng là đối tác thương mại điện tử, công nợ của phòng Kinh doanh và nhà hàng.<br>- Báo cáo công nợ phải thu gửi các BP liên quan, trong đó ghi rõ nợ quá hạn và nợ trong hạn.<br>- Kịp thời báo cáo các công nợ quá hạn thanh toán.<br>- Đôn đốc các BP thu hồi công nợ về.<br>- Đảm bảo dữ liệu công nợ nhận từ các báo cáo được ghi nhận chính xác trên dữ liệu phần mềm.<br>- Cập nhật thanh toán của khách hàng theo thời hạn được nợ cụ thể cho từng khách hàng.<br>- Tiếp nhận thông tin và kiểm tra xử lý các khoản đặt cọc của khách hàng tại nhà hàng</p>
    </div>","<div class=""detail-row"" reset-bullet>
        <h2 class=""detail-title"">Yêu Cầu Công Việc</h2>
        <p>- Kinh nghiệm 1-2 năm</p><p>- Có kinh nghiệm vị trí tương đương là một lợi thế</p><p>- Sử dụng thành tạo phần mềm kế toán, vi tính văn phòng</p><p>- Cẩn thận, chi tiết và trung thực</p><p>- Ưu tiên có kinh nghiệm trong lĩnh vực F&amp;B</p>
    </div>","<div class=""detail-row"">
  <h3 class=""detail-title"">Thông tin khác</h3>
  <!-----
<div class=""content_fck "">
  ------>
<div class=""content_fck "">
  <ul>
                <li> Bằng cấp:
                Cao đẳng
         </li>
                  <li> Giới tính:
         Nữ  </li>
      	  	              		<li> Độ tuổi:
                        22 - 40
                 
	</li>
	    	                <li>Lương: 
                  10 Tr - 12 Tr
       VND
          </li>
  </ul>
  </div>
</div>",C00014,10.0,12.0,1,2
Art Specialist,35BB8C1A,https://careerbuilder.vn/vi/tim-viec-lam/art-specialist.35BB8C1A.html,2023-03-04,Trưởng nhóm / Giám sát,2023-03-31,"<div class=""detail-row reset-bullet"">
        <h2 class=""detail-title"">Mô tả Công việc</h2>
        <p>-          Chịu trách nhiệm về mặt mỹ thuật của các job</p><p>-          Tạo cái nhìn tổng thể về thiết kế</p><p>-          Làm việc với các phòng ban khác để nhận brief</p><p>-          Làm việc với đơn vị sản xuất cho đồng bộ với thiết kế</p><p>-          Sáng tạo concept</p><p>-          Brainstorm</p>
    </div>","<div class=""detail-row"" reset-bullet>
        <h2 class=""detail-title"">Yêu Cầu Công Việc</h2>
        <p>-          Thành thạo phần mềm thiết kế  2D, 3D (3dsMax, Photoshop, Illustrator)</p><p>-          Biết vẽ tay và các phần mềm khác là một lợi thế</p><p>-          Kiến thức căn bản về đồ họa, bố cục layout.</p><p>-          Tốt nghiệp chuyên ngành liên quan tới Thiết kế or Kiến trúc sư là 1 lợi thế.</p><p>-          Kinh nghiệm từ 1-2 năm ở vị trí Thiết kế.</p><p>-          Không ngại OT, chịu được áp lực công việc, cầu tiến.</p><p>-          Nắm bắt trend</p><p>-          Am hiểu về design Agency (BTL)</p><p>-          Có tư duy sáng tạo và thẩm mỹ tốt</p>
    </div>","<div class=""detail-row"">
  <h3 class=""detail-title"">Thông tin khác</h3>
  <!-----
<div class=""content_fck "">
  ------>
<div class=""content_fck "">
  <ul>
                <li> Bằng cấp:
                Đại học
         </li>
            	  	              		<li> Độ tuổi:
                        25 - 35
                 
	</li>
	    	                <li>Lương: 
                  12 Tr - 15 Tr
       VND
          </li>
  </ul>
  </div>
</div>",C02028,12.0,15.0,1,2
[ĐÀ NẴNG] NHÂN VIÊN KINH DOANH Ô TÔ TẢI - THU NHẬP LÊN ĐẾN 20TR,35BB8C17,https://careerbuilder.vn/vi/tim-viec-lam/da-nang-nhan-vien-kinh-doanh-o-to-tai-thu-nhap-len-den-20tr.35BB8C17.html,2023-03-04,Nhân viên,2023-06-30,"<div class=""detail-row reset-bullet"">
        <h2 class=""detail-title"">Mô tả Công việc</h2>
        <ul><li>Tìm kiếm và khai thác thông tin khách hàng của cá nhân và công ty.</li></ul><ul><li>Tương tác với khách hàng qua các kênh, MXH (Facebook, Zalo, Website, Youtube, Tiktok)</li></ul><ul><li>Tiếp nhận yêu cầu của khách hàng để tiến hành xử lý, giải đáp thắc mắc, tư vấn kịp thời về chất lượng, giá cả, số lượng yêu cầu,… cho khách hàng.</li></ul><ul><li>Thực hiện công tác bàn giao xe, hồ sơ cho khách hàng.</li><li>Trực bán hàng tại Showroom theo sự phân công của Quản lý.</li></ul><p><strong>*** Sản phẩm xe: ô tô tải, tải nặng, xe ben, xe đầu kéo,... (dòng sản phẩm chính là Shacman, Howo, Junton)</strong></p>
    </div>","<div class=""detail-row"" reset-bullet>
        <h2 class=""detail-title"">Yêu Cầu Công Việc</h2>
        <p>YÊU CẦU:</p><ul><li>Ưu tiên ứng viên tốt nghiệp chuyên ngành ô tô, hoặc đam mê lĩnh vực ô tô - xe máy, BĐS, thiết bị điện tử,...</li><li>Chưa có kinh nghiệm sẽ được đào tạo</li><li>Tuổi từ 20-35 tuổi</li><li>Năng động, ham học hỏi, đam mê kinh doanh, chủ động trong công việc.</li></ul><p>QUYỀN LỢI:</p><ul><li>Được đào tạo chuyên sâu kiến thức về ngành</li><li>Thu nhập lên đến 20tr - 30tr tùy theo năng lực (Lương cứng 6tr + Phụ cấp + Hoa hồng)</li><li>Công ty hỗ trợ cơm trưa 25k/ngày làm việc</li><li>Hưởng đầy đủ các chính sách về BHXH, BHTN, BHYT theo quy định của luật LĐ</li></ul>
    </div>","<div class=""detail-row"">
  <h3 class=""detail-title"">Thông tin khác</h3>
  <!-----
<div class=""content_fck "">
  ------>
<div class=""content_fck "">
  <ul>
                <li> Bằng cấp:
                Trung học
         </li>
            	  	              		<li> Độ tuổi:
                        20 - 35
                 
	</li>
	    	                <li>Lương: 
      Cạnh tranh
          </li>
  </ul>
  </div>
</div>",C00943,Unknown,Unknown,Unknown,Unknown
Field Supervisor,35BB8C1B,https://careerbuilder.vn/vi/tim-viec-lam/field-supervisor.35BB8C1B.html,2023-03-04,Nhân viên,2023-03-31,"<div class=""detail-row reset-bullet"">
        <h2 class=""detail-title"">Mô tả Công việc</h2>
        <p>-          Triển khai và báo cáo tiến độ chương trình Quảng Cáo</p><p>-          Quản lý chương trình &amp; điều phối nhân sự thực hiện chương trình</p><p>-          Báo cáo về kết quả thực hiện chương trình</p><p>-          Điều tra về mức độ hiệu quả của chương trình, phản ứng của khách hàng.</p><p>-          Làm việc với các phòng ban có liên quan </p>
    </div>","<div class=""detail-row"" reset-bullet>
        <h2 class=""detail-title"">Yêu Cầu Công Việc</h2>
        <p>-          Độ tuổi: Từ 22 đến 30</p><p>-          Sử dụng thành thạo vi tính văn phòng (có laptop)</p><p>-          Kinh nghiệm: 2 năm ở vị trí Sup trở lên trong ngành Quảng Cáo</p><p>-          Am hiểu đặc điểm địa bàn, các điểm thực hiện chương trình</p><p>-          Có khả năng thương lượng (liên hệ mặt bằng, tuyển dụng và làm việc với nhân viên BTG)</p><p>-          Có nguồn nhân sự BTG, đơn vị sản xuất ở HCM và các Tỉnh</p><p>-          Không ngại làm việc OT</p><p>-          Có thể đi công tác ở Tỉnh</p><p>-          Sức khỏe tốt</p>
    </div>","<div class=""detail-row"">
  <h3 class=""detail-title"">Thông tin khác</h3>
  <!-----
<div class=""content_fck "">
  ------>
<div class=""content_fck "">
  <ul>
                	  	              		<li> Độ tuổi:
                        22 - 30
                 
	</li>
	    	                <li>Lương: 
                  8 Tr - 10 Tr
       VND
          </li>
  </ul>
  </div>
</div>",C02028,8.0,10.0,1,2
Thư Ký Dự Án,35BB8C21,https://careerbuilder.vn/vi/tim-viec-lam/thu-ky-du-an.35BB8C21.html,2023-03-04,Nhân viên,2023-03-30,"<div class=""detail-row reset-bullet"">
        <h2 class=""detail-title"">Mô tả Công việc</h2>
        <p>-          Liên hệ/họp khách hàng để nhận ý tưởng, yêu cầu thực hiện chương trình.</p><p>-          Triển khai vận hành dự án Quảng cáo- tổ chức sự kiện</p><p>-          Báo cáo về kết quả thực hiện dự án.</p><p>-          Điều tra về mức độ hiệu quả của dự án, phản ứng của khách hàng.</p><p>-          Hỗ trợ Project Manager trong việc giám sát, quản lý vận hành dự án.</p><p>-          Làm việc với các phòng ban có liên quan</p><p>-          Lập hợp đồng, theo dõi tiến độ thực hiện dự án, thanh lý hợp đồng.</p>
    </div>","<div class=""detail-row"" reset-bullet>
        <h2 class=""detail-title"">Yêu Cầu Công Việc</h2>
        <p>-          Nữ từ 23 đến 30 tuổi</p><p>-          Ngoại hình khá, giao tiếp tốt</p><p>-          Có laptop cá nhân</p><p>-          Sử dụng thành thạo vi tính văn phòng, các phần mềm liên quan đến công việc (word excel powerpoint) –</p><p>-          Kỹ năng trình bày ý tưởng, sáng tạo</p><p>-          Không ngại làm việc OT, có thể đi công tác</p>
    </div>","<div class=""detail-row"">
  <h3 class=""detail-title"">Thông tin khác</h3>
  <!-----
<div class=""content_fck "">
  ------>
<div class=""content_fck "">
  <ul>
                      <li> Giới tính:
         Nữ  </li>
      	  	              		<li> Độ tuổi:
                        22 - 30
                 
	</li>
	    	                <li>Lương: 
                  8 Tr - 10 Tr
       VND
          </li>
  </ul>
  </div>
</div>",C02028,8.0,10.0,1,2
PLANNING/ACCOUNT,35BB8C1D,https://careerbuilder.vn/vi/tim-viec-lam/planning-account.35BB8C1D.html,2023-03-04,Nhân viên,2023-03-30,"<div class=""detail-row reset-bullet"">
        <h2 class=""detail-title"">Mô tả Công việc</h2>
        <p>-          Nhận brief từ Khách hàng và các bộ phận liên quan</p><p>-          Tham gia các buổi brainstorming cùng các team để xây dựng, phát triển ý tưởng cho proposal theo yêu cầu khách hang</p><p>-          Thực hành và đóng góp ý tưởng vào quá trình hoàn thiện proposa</p><p>-          Trình bày ý tưởng và thuyết trình cho khách hàng</p>
    </div>","<div class=""detail-row"" reset-bullet>
        <h2 class=""detail-title"">Yêu Cầu Công Việc</h2>
        <p>-          Nữ từ 23 đến 30 tuổi</p><p>-          Ngoại hình khá, giao tiếp tốt</p><p>-          Có laptop cá nhân</p><p>-          Tiếng Anh tốt</p><p>-          Sử dụng thành thạo vi tính văn phòng.</p><p>-          Có óc thẩm mĩ và tính chủ động</p><p>-          Không ngại làm việc OT</p>
    </div>","<div class=""detail-row"">
  <h3 class=""detail-title"">Thông tin khác</h3>
  <!-----
<div class=""content_fck "">
  ------>
<div class=""content_fck "">
  <ul>
                      <li> Giới tính:
         Nữ  </li>
      	  	              		<li> Độ tuổi:
                        22 - 30
                 
	</li>
	    	                <li>Lương: 
                  9 Tr - 12 Tr
       VND
          </li>
  </ul>
  </div>
</div>",C02028,9.0,12.0,1,2
Nhân viên phụ trách đào tạo biết tiếng Trung,35BB8C1F,https://careerbuilder.vn/vi/tim-viec-lam/nhan-vien-phu-trach-dao-tao-biet-tieng-trung.35BB8C1F.html,2023-03-04,Nhân viên,2023-04-04,"<div class=""detail-row reset-bullet"">
        <h2 class=""detail-title"">Mô tả Công việc</h2>
        <p>1. Liên hệ làm việc với chi nhánh bên Trung Quốc, Đài Loan, các công ty con trong cùng tập đoàn tại Việt Nam</p>

<p>2. Quản lý mảng đào tạo của công ty bao gồm: viết, thực hiện kế hoạch đào tạo của công ty; giám sát thực hiện kế hoạch đào tạo của các bộ phận, báo cáo số liệu đào tạo hàng tháng. Quản lý các cửa sổ đào tạo. Quản lý hệ thống học viện qisda</p>

<p>3. Tham gia audit nội bộ và ngoại bộ</p>

<p>4. Lên kế hoạch và thực hiện các hoạt động bên đào tạo như hoạt động quý, hoạt động ngày nhà giáo, vv</p>

<p>5. Hỗ trợ các công việc liên quan của bộ phận</p>

<p>6. Sẽ được đào tạo toàn bộ sau khi vào làm nếu không có kinh nghiệm làm đào tạo, hoạt động</p>

    </div>","<div class=""detail-row"" reset-bullet>
        <h2 class=""detail-title"">Yêu Cầu Công Việc</h2>
        <ol>
	<li>
	<p>Giới tính nữ, sức khỏe tốt</p>
	</li>
	<li>
	<p>Chăm chỉ, nhiệt tình, trách nhiệm, ham học hỏi</p>
	</li>
	<li>
	<p>Tốt nghiệp đại học, tiếng Trung HSK 5 trở lên</p>
	</li>
	<li>
	<p>Gắn bó lâu dài với công ty, mong muốn một công việc ổn định</p>
	</li>
	<li>
	<p>Có 2 năm kinh nghiệm làm việc trở lên</p>
	</li>
	<li>
	<p>Ưu tiên các ứng viên có kinh nghiệm hoặc học chuyên ngành liên quan đào tạo/ thiết kế/ hoạt động</p>
	</li>
</ol>

    </div>","<div class=""detail-row"">
  <h3 class=""detail-title"">Thông tin khác</h3>
  <!-----
<div class=""content_fck "">
  ------>
<div class=""content_fck "">
  <ul>
                <li> Bằng cấp:
                Đại học
         </li>
            	  	              		<li> Độ tuổi:
                Không giới hạn tuổi
         
	</li>
	    	                <li>Lương: 
      Cạnh tranh
          </li>
  </ul>
  </div>
</div>",C00564,Unknown,Unknown,1,2
Logistics Executive,35BB8C20,https://careerbuilder.vn/vi/tim-viec-lam/logistics-executive.35BB8C20.html,2023-03-04,Nhân viên,2023-04-01,"<div class=""detail-row reset-bullet"">
        <h2 class=""detail-title"">Mô tả Công việc</h2>
        <p>- Xây dựng và phát triển hệ thống kinh doanh.</p><p>- Tìm kiếm khách hàng trong và ngoài nước, các đối tác có nhu cầu sử dụng dịch vụ. </p><p>- Liên hệ khách hàng chào giá, cung cấp dịch vụ logistics của Cty.</p><p>- Tư vấn phương án vận chuyển tối ưu phù hợp với nhu cầu khách hàng.</p><p>- Nỗ lực hoàn thành danh số bán hàng và doanh thu mục tiêu;</p><p>- Theo dõi công nợ khách hàng;</p><p>- Báo cáo kết quả định kỳ cho Trưởng Bộ Phận.</p>
    </div>","<div class=""detail-row"" reset-bullet>
        <h2 class=""detail-title"">Yêu Cầu Công Việc</h2>
        <p>- Tốt nghiệp Cao đẳng trở lên các chuyên ngành xuất nhập khẩu, ngoại thương, kinh tế, logistics....</p><p>- Thành thạo Tin học văn phòng; Tiếng Anh/Tiếng Trung khá;</p><p>- Có kinh nghiệm ít nhất 2 năm trong ngành Vận tải, Logistics, Forwarders;</p><p>- Khả năng giao tiếp, thuyết phục cũng như nắm bắt tâm lý khách hàng tốt;</p><p>- Kỹ năng giải quyết vấn đề tốt;</p><p>- Có tinh thần trách nhiệm cao trong công việc, có thể làm việc dưới áp lực cao;</p><p>- Luôn cập nhật các thông tin thị trường ngành Logistics;</p><p>- Có nghiệp vụ chuyên môn, muốn upgrade có thể deal riêng.</p>
    </div>","<div class=""detail-row"">
  <h3 class=""detail-title"">Thông tin khác</h3>
  <!-----
<div class=""content_fck "">
  ------>
<div class=""content_fck "">
  <ul>
                <li> Bằng cấp:
                Cao đẳng
         </li>
            	  	              <li> Thời gian thử việc: 2 tháng </li>
        		<li> Độ tuổi:
                        22 - 45
                 
	</li>
	    <li> Thời gian làm việc: Thứ 2 - thứ 6: 8h00 - 17h30 (nghỉ trưa: 12h - 13h30) </li>
            <li> Đồng nghiệp:      <p>-	Làm việc trong môi trường năng động, chuyên nghiệp và có nhiều cơ hội thăng tiến;<br>
-	Đội ngũ nhân viên trẻ trung, thân thiện và cởi mở; <br>
</p>
       </li>
    	        <li> Phúc lợi:      <p><br>
-	Các hoạt động Teambuilding, YEP, party, tân niên….<br>
-	Chế độ nâng lương định kỳ hàng năm;<br>
-	Chế độ thưởng: thưởng thành tích, thưởng các ngày lễ tết, lương tháng 13, sinh nhật, cưới hỏi…<br>
-	Các chế độ BHXH, BHYT, BHTN được thực hiện theo đúng quy định pháp luật. <br>
</p>
       </li>
                <li>Lương: 
      Cạnh tranh
          </li>
  </ul>
  </div>
</div>",C02029,Unknown,Unknown,1,5
Technical Sales Engineer (TSE),35BB8C22,https://careerbuilder.vn/vi/tim-viec-lam/technical-sales-engineer-tse.35BB8C22.html,2023-03-04,Nhân viên,2022-12-12,"<div class=""detail-row reset-bullet"">
        <h2 class=""detail-title"">Mô tả Công việc</h2>
        <p>The position of Technical Sales Engineer (TSE) is responsible for growing new customers and new business opportunities. The work starts with evaluating the market segments &amp; territories assigned by company, then looking for potential customers, making appointments, determining potential business opportunities and keep following-up until the project closed-won/or lost.</p><p><strong>Main Duties and Responsibilities </strong>include the following. Other duties may be assigned.</p><ul><li>Searching for new customers who might benefit from company products or services and maximize customers’ potential in designated regions.</li><li>Developing long-term relationships with customers, through managing and interpreting their requirements</li><li>Persuading customers that a product or service best satisfies their needs in terms of quality, price and delivery.</li><li>Negotiating contract terms and conditions to meet both customer and company needs.</li><li>Achieving regular sales targets and coordinating sales projects</li><li>Supporting marketing activities by attending trade shows, conferences and other marketing events</li><li>Making technical presentations and demonstrate how a product meets customer needs.</li><li>Liaising with other members of the sales team and technical experts</li></ul>
    </div>","<div class=""detail-row"" reset-bullet>
        <h2 class=""detail-title"">Yêu Cầu Công Việc</h2>
        <ul><li>Bachelor’s degree in Engineering/Business or similar.</li><li>Positive thinking and be able to work under high pressure.</li><li>Strong customer service, analytical, and interpersonal skills.</li><li>Excellent organizational, research, and multitasking abilities.</li><li>Strong negotiating and problem-solving skills.</li></ul>
    </div>","<div class=""detail-row"">
  <h3 class=""detail-title"">Thông tin khác</h3>
  <!-----
<div class=""content_fck "">
  ------>
<div class=""content_fck "">
  <ul>
                <li> Bằng cấp:
                Đại học
         </li>
            	  	              		<li> Độ tuổi:
                Không giới hạn tuổi
         
	</li>
	    	                <li>Lương: 
                  8 Tr - 30 Tr
       VND
          </li>
  </ul>
  </div>
</div>",C01809,8.0,30.0,0,0
Kế Toán Tổng Hợp - CN Lý Chính Thắng,35BB8C1C,https://careerbuilder.vn/vi/tim-viec-lam/ke-toan-tong-hop-cn-ly-chinh-thang.35BB8C1C.html,2023-03-04,Nhân viên,2023-04-04,"<div class=""detail-row reset-bullet"">
        <h2 class=""detail-title"">Mô tả Công việc</h2>
        <p>- Quản lý, kiểm soát số liệu, kiểm soát quy trình kế toán nhằm giúp bộ máy kế toán hoạt động hiệu quả.</p><p>- Tổng hợp các nguồn số liệu chi tiết từ các kế toán viên để có được báo cáo tài chính chính xác, đầy đủ và kịp thời, đúng quy định.</p><p>- Phải chịu trách nhiệm về việc hướng dẫn, điều chỉnh kịp thời những sai sót về nghiệp vụ kế toán trên hệ thống làm sai lệch đến những số liệu tổng hợp báo cáo.</p><p>- Phải chịu trách nhiệm về tính chính xác, trung thực những số liệu trong báo cáo, thời gian hoàn thành báo cáo theo quy định.</p><p>- Kiểm tra rà soát các dữ liệu kế toán hội sở và chi nhánh. Kết nối hướng dẫn điều chỉnh khi có những sai sót về nghiệp vụ kế toán</p><p>- Kiểm tra rà soát số liệu và công nợ, dòng tiền.</p><p>- Tập hợp báo cáo doanh số, tổng hợp lương, báo cáo phải trả khác.</p><p>- Tập hợp chi phí, tính khâu hao TSCĐ, CCDC, chi phí trả trước, tiền vay, thế chấp, trích dự phòng, tập hợp tồn kho, khuyến mại, công nợ.</p><p>- Kiểm tra và ký hóa đơn VAT tại Hội sở (theo phân công trách nhiệm của Kế toán trưởng</p><p>- Theo dõi tài sản cố định tại hội sở và chi nhánh.</p><p>- Các công việc khác theo phân công của Kế toán trưởng/ Giám Đốc Tài Chính</p>
    </div>","<div class=""detail-row"" reset-bullet>
        <h2 class=""detail-title"">Yêu Cầu Công Việc</h2>
        <p>- Nữ từ 23t trở lên, kinh nghiệm trên 1 năm</p><p>- Đại học /Cao đẳng chuyên ngành kế toán</p><p>- Nắm vững nghiệp vụ kế toán</p><p>- Kỹ năng vi tính tốt,giao tiếp, khả năng làm việc độc lập và làm việc theo nhóm</p><p>- Chịu được áp lực trong công việc,làm việc ngoài giờ.</p><p>- Có tinh thần trách nhiệm, khả năng quan sát, đánh giá và thích nghi tốt với mọi hoàn cảnh</p>
    </div>","<div class=""detail-row"">
  <h3 class=""detail-title"">Thông tin khác</h3>
  <!-----
<div class=""content_fck "">
  ------>
<div class=""content_fck "">
  <ul>
                <li> Bằng cấp:
                Cao đẳng
         </li>
            	  	              <li> Thời gian thử việc: 02 tháng </li>
        		<li> Độ tuổi:
                Không giới hạn tuổi
         
	</li>
	    <li> Thời gian làm việc: 8h -17h30 ; Nghỉ trưa 1,5 tiếng </li>
        	        <li> Phúc lợi:      <p>Chế độ BHXH đầy đủ<br>
Lương thưởng T13<br>
Du lịch hằng năm </p>
       </li>
            <li> Ngày nghỉ: Lễ tết theo quy định nhà nước </li>
            <li>Lương: 
                  12 Tr - 15 Tr
       VND
          </li>
  </ul>
  </div>
</div>",C00102,12.0,15.0,1,3
